roster_entity,raw_client_name,alias_coverage,n_press_mentions,n_distinct_members_mentioning,most_recent_mention_date
"NIANTIC, INC.","NIANTIC, INC.",not_reviewed,0,0,
"NIKE, INC.","NIKE, INC.",reviewed,11,9,2026-03-16
NORC AT THE UNIVERSITY OF CHICAGO,NORC AT THE UNIVERSITY OF CHICAGO,rejected_too_generic,0,0,
"NORTH AMERICAN SUBARU, INC.","NORTH AMERICAN SUBARU, INC.",not_reviewed,0,0,
"NOTARIZE, INC. DBA PROOF.COM","NOTARIZE, INC. DBA PROOF.COM",not_reviewed,0,0,
"NOVA LABS, INC.","NOVA LABS, INC.",not_reviewed,0,0,
"NPR, INC.","NPR, INC.",not_reviewed,0,0,
NRG ENERGY INC,NRG ENERGY INC,not_reviewed,0,0,
"OKTA, INC.","OKTA, INC.",not_reviewed,0,0,
OLIVE AI,OLIVE AI,not_reviewed,0,0,
"ONEMAIN FINANCIAL GROUP, LLC","ONEMAIN FINANCIAL GROUP, LLC",reviewed,0,0,
ONFIDO,ONFIDO INC.,not_reviewed,0,0,
ONFIDO,"ONFIDO, INC.",not_reviewed,0,0,
PACIFIC GAS AND ELECTRIC COMPANY,PACIFIC GAS AND ELECTRIC COMPANY,reviewed,46,10,2026-03-24
PACIFIC LIFE INSURANCE COMPANY,PACIFIC LIFE INSURANCE COMPANY,not_reviewed,0,0,
"PALO ALTO NETWORKS, INC.","PALO ALTO NETWORKS, INC.",reviewed,5,4,2025-08-01
PANASONIC CORPORATION OF NORTH AMERICA,PANASONIC CORPORATION OF NORTH AMERICA,reviewed,19,3,2025-12-22
PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),reviewed,15,7,2026-03-23
PAYPAL,PAYPAL,not_reviewed,0,0,
PFS INVESTMENTS INC.,PFS INVESTMENTS INC.,not_reviewed,0,0,
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,reviewed,31,17,2026-02-15
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),reviewed,30,16,2026-02-15
PHILIPS HOLDING USA INC.,PHILIPS HOLDING USA INC.,not_reviewed,0,0,
PINTEREST,PINTEREST INC.,not_reviewed,0,0,
PINTEREST,"PINTEREST, INC",not_reviewed,0,0,
PLAID INC.,PLAID INC.,reviewed,2,2,2024-05-08
"PLANET FITNESS HOLDINGS, INC.","PLANET FITNESS HOLDINGS, INC.",not_reviewed,0,0,
PLANNED PARENTHOOD FEDERATION OF AMERICA INC,PLANNED PARENTHOOD FEDERATION OF AMERICA INC,not_reviewed,0,0,
PORTLAND GENERAL ELECTRIC,PORTLAND GENERAL ELECTRIC,not_reviewed,0,0,
PREMISE,PREMISE,not_reviewed,0,0,
PRIMERICA LIFE INSURANCE COMPANY,PRIMERICA LIFE INSURANCE COMPANY,not_reviewed,0,0,
PRINCIPAL FINANCIAL GROUP,PRINCIPAL FINANCIAL GROUP,rejected_too_generic,0,0,
PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION,PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION,rejected_too_generic,0,0,
PUBLIC BROADCASTING SERVICE,PUBLIC BROADCASTING SERVICE,not_reviewed,0,0,
PUBLIC CITIZEN,PUBLIC CITIZEN,not_reviewed,0,0,
PUBLIC KNOWLEDGE,PUBLIC KNOWLEDGE,not_reviewed,0,0,
"QVC GROUP, INC.","QVC GROUP, INC.",not_reviewed,0,0,
"RACETRAC, INC.","RACETRAC, INC.",not_reviewed,0,0,
RAI SERVICES COMPANY,RAI SERVICES COMPANY,not_reviewed,0,0,
"RAPID7, INC.","RAPID7, INC.",not_reviewed,0,0,
REGIONS FINANCIAL CORP.,REGIONS FINANCIAL CORP.,not_reviewed,0,0,
REINSURANCE ASSOCIATION OF AMERICA,REINSURANCE ASSN OF AMERICA,not_reviewed,0,0,
REINSURANCE ASSOCIATION OF AMERICA,REINSURANCE ASSOCIATION OF AMERICA,rejected_too_generic,0,0,
RELX,RELX INC,not_reviewed,0,0,
RELX,RELX INC.,not_reviewed,0,0,
RETAIL INDUSTRY LEADERS ASSOCIATION,RETAIL INDUSTRY LEADERS ASSOCIATION,not_reviewed,0,0,
RETAIL INDUSTRY LEADERS ASSOCIATION,RETAIL INDUSTRY LEADERS ASSOCIATION (RILA),rejected_too_generic,0,0,
RIIID LABS INC.,RIIID LABS INC.,not_reviewed,0,0,
ROBERT BOSCH LLC,ROBERT BOSCH LLC,reviewed,10,7,2026-01-02
ROCK CENTRAL,ROCK CENTRAL,not_reviewed,0,0,
ROCKET LP,ROCKET LP,not_reviewed,0,0,
ROCKET LP,ROCKET LP FKA RKT HOLDINGS,not_reviewed,0,0,
"ROKU, INC.","ROKU, INC.",reviewed,1,1,2025-07-22
S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.),S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.),not_reviewed,0,0,
S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.),S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.),not_reviewed,0,0,
"SALESFORCE, INC.","SALESFORCE, INC.",not_reviewed,0,0,
SAP AMERICA,SAP AMERICA INC.,not_reviewed,0,0,
SAP AMERICA,"SAP AMERICA, INC.",reviewed,36,26,2026-02-10
"SB GROUP US, INC. DBA SOFTBANK GROUP US, INC.","SB GROUP US, INC. DBA SOFTBANK GROUP US, INC.",not_reviewed,0,0,
"SCHWEITZER ENGINEERING LABORATORIES, INC.","SCHWEITZER ENGINEERING LABORATORIES, INC.",not_reviewed,0,0,
SECURIAN FINANCIAL GROUP,SECURIAN FINANCIAL GROUP,not_reviewed,0,0,
SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA),SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA),reviewed,16,13,2025-12-17
SECURITY INDUSTRY ASSOCIATION,SECURITY INDUSTRY ASSOCIATION,not_reviewed,0,0,
SENTRY INSURANCE,SENTRY INSURANCE COMPANY,not_reviewed,0,0,
SENTRY INSURANCE,SENTRY INSURANCE COMPANY (FORMERLY SENTRY INSURANCE A MUTUAL COMPANY),not_reviewed,0,0,
SHOPIFY INC.,SHOPIFY INC.,reviewed,6,4,2026-02-04
"SIEMENS MEDICAL SOLUTIONS USA, INC","SIEMENS MEDICAL SOLUTIONS USA, INC",not_reviewed,0,0,
"SIX CONTINENTS HOTELS, INC.","SIX CONTINENTS HOTELS, INC.",not_reviewed,0,0,
"SK AMERICAS, INC.","SK AMERICAS, INC.",rejected_too_generic,0,0,
SNAP INC.,SNAP INC.,rejected_too_generic,0,0,
"SOCURE, INC.","SOCURE, INC.",not_reviewed,0,0,
SIIA,SOFTWARE & INFORMATION INDUSTRY ASSOCIATION,not_reviewed,0,0,
SONY INTERACTIVE ENTERTAINMENT LLC,SONY INTERACTIVE ENTERTAINMENT LLC,not_reviewed,0,0,
SPACE EXPLORATION TECHNOLOGIES CORP.,SPACE EXPLORATION TECHNOLOGIES CORP.,not_reviewed,0,0,
SPOTIFY,SPOTIFY,reviewed,31,21,2026-03-27
SPOTIFY,SPOTIFY USA INC.,not_reviewed,0,0,
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,not_reviewed,0,0,
STATE OF CALIFORNIA,STATE OF CALIFORNIA,rejected_too_generic,0,0,
SUSAN B ANTHONY LIST,SUSAN B ANTHONY LIST,not_reviewed,0,0,
SWISS REINSURANCE COMPANY LTD,SWISS REINSURANCE COMPANY LTD,reviewed,0,0,
"T-MOBILE USA, INC.","T-MOBILE USA, INC.",reviewed,82,29,2026-03-03
TARGET CORPORATION,TARGET CORPORATION,rejected_too_generic,0,0,
TATA AMERICA INTERNATIONAL CORPORATION,TATA AMERICA INTERNATIONAL CORPORATION,not_reviewed,0,0,
"TD BANK, NA","TD BANK, NA",not_reviewed,0,0,
TECHNET,TECHNET,rejected_too_generic,0,0,
TECHNET,TECHNOLOGY NETWORK AKA TECHNET,rejected_too_generic,0,0,
"THE AARON'S COMPANY, INC.","THE AARON'S COMPANY, INC.",reviewed,8,8,2026-02-10
BUSINESS ROUNDTABLE,THE BUSINESS ROUNDTABLE,not_reviewed,0,0,
THE COLLEGE BOARD,THE COLLEGE BOARD,not_reviewed,0,0,
HOME DEPOT,THE HOME DEPOT,not_reviewed,0,0,
THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,not_reviewed,0,0,
THE NONPROFIT ALLIANCE,THE NONPROFIT ALLIANCE,not_reviewed,0,0,
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,rejected_too_generic,0,0,
THE PROCTER AND GAMBLE COMPANY,THE PROCTER AND GAMBLE COMPANY,not_reviewed,0,0,
THOMSON REUTERS,THOMSON REUTERS,reviewed,1,1,2023-11-10
THRIVENT FINANCIAL FOR LUTHERANS,THRIVENT FINANCIAL FOR LUTHERANS,reviewed,2,2,2025-08-26
TIAA,TIAA,reviewed,9,7,2025-12-18
TIKTOK INC.,TIKTOK INC.,reviewed,544,201,2026-03-31
TNC (US) HOLDINGS (FKA NIELSEN),TNC (US) HOLDINGS INC,not_reviewed,0,0,
TNC (US) HOLDINGS (FKA NIELSEN),"TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN)",not_reviewed,0,0,
TOYOTA MOTOR NORTH AMERICA,TOYOTA MOTOR NORTH AMERICA INC (TMA),not_reviewed,0,0,
TOYOTA MOTOR NORTH AMERICA,"TOYOTA MOTOR NORTH AMERICA, INC.",reviewed,3,2,2025-04-22
TRANS UNION LLC,TRANS UNION LLC,not_reviewed,0,0,
TRANSAMERICA COMPANIES,TRANSAMERICA COMPANIES,not_reviewed,0,0,
TRANSUNION,TRANSUNION,not_reviewed,0,0,
TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,not_reviewed,0,0,
TRIPADVISOR LLC,TRIPADVISOR LLC,not_reviewed,0,0,
TWILIO,TWILIO INC.,not_reviewed,0,0,
TWILIO,"TWILIO, INC.",reviewed,0,0,
"TWITTER, INC.","TWITTER, INC.",not_reviewed,0,0,
UNIDOSUS,UNIDOSUS,not_reviewed,0,0,
UNIDOSUS,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),not_reviewed,0,0,
UNISYS CORPORATION,UNISYS CORPORATION,not_reviewed,0,0,
UNITED SERVICES AUTOMOBILE ASSOCIATION,UNITED SERVICES AUTOMOBILE ASSOCIATION,reviewed,14,11,2025-12-15
UNITED STATES TELECOM ASSOCIATION,UNITED STATES TELECOM ASSOCIATION,reviewed,55,34,2026-01-09
UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX,not_reviewed,0,0,
UPS (UNITED PARCEL SERVICE),UPS (UNITED PARCEL SERVICE),not_reviewed,0,0,
VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS,reviewed,111,47,2026-03-24
VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS INC AND ITS SUBSIDIARIES,not_reviewed,0,0,
VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES,not_reviewed,0,0,
VERIZON COMMUNICATIONS,"VERIZON COMMUNICATIONS, INC.",reviewed,2,2,2025-02-27
VISA,"VISA, INC.",reviewed,1149,291,2026-03-31
VISA,"VISA, U.S.A., INC.",rejected_too_generic,0,0,
VIZIO,VIZIO,not_reviewed,0,0,
VOLVO GROUP NORTH AMERICA LLC,VOLVO GROUP NORTH AMERICA LLC,not_reviewed,0,0,
WALGREEN CO.,WALGREEN CO.,not_reviewed,0,0,
WELLS FARGO & COMPANY,WELLS FARGO & COMPANY,reviewed,60,25,2025-12-11
"WORKDAY, INC.","WORKDAY, INC.",rejected_too_generic,0,0,
WORLDWIDE ERC,WORLDWIDE ERC,not_reviewed,0,0,
YAHOO,"YAHOO INC, AND VAR. SUBS/AFFILIATES (FKA COLLEGE PARENT, L.P. DBA ""YAHOO"")",reviewed,15,13,2025-11-12
YAHOO,YAHOO INC. AND VAR. SUBS/AFFILIATES,not_reviewed,0,0,
YUM! BRANDS,YUM! BRANDS,not_reviewed,0,0,
YUM! BRANDS,YUM! BRANDS INC,not_reviewed,0,0,
"ZILLOW GROUP, INC.","ZILLOW GROUP, INC.",not_reviewed,0,0,
ZIMMER BIOMET,ZIMMER BIOMET,not_reviewed,0,0,
ZURICH AMERICAN INSURANCE COMPANY,ZURICH AMERICAN INSURANCE COMPANY,rejected_too_generic,0,0,
